,Select Your Choices for Assembly (candidates are randomly ordered),,,,,
Respondent ID,Rob Roy,Chris Evans,Michelle Obama,Sam Gamji,Ferris Buehler,No Candidate (Assembly)
12490596065,,1,,,,2
12490612221,2,,,1,,
12490612446,5,1,4,2,3,
12490612828,3,2,1,4,5,
12490612869,3,2,4,1,,
12490613161,2,5,1,3,4,
12490613119,3,5,2,1,4,
12490613247,,,,1,,
12490613264,3,2,5,1,4,
12490613319,4,3,2,1,5,
12490613279,,,1,5,,
12490613411,2,3,1,4,5,
12490613014,2,,1,,,
12490613651,1,2,,,,
12490613670,4,2,1,,3,
12490613762,,,1,,,
12490613889,,2,,1,,
12490613940,1,4,2,3,5,
12490614046,4,2,5,1,3,
12490614062,1,2,4,3,5,
12490613874,2,,1,,,3
12490614167,,1,,,,
12490614233,,1,,,,
12490614153,1,3,,2,,
12490614322,3,2,5,,4,
12490614246,2,,1,,,
12490614332,2,,3,,1,
12490614151,2,,1,,,
12490614354,1,4,3,2,5,
12490614528,3,1,4,2,,
12490614638,4,2,5,1,3,
12490614721,1,,,,,
12490614916,1,4,2,3,5,
12490614932,1,3,,2,,
12490614918,,,,1,,
12490614817,2,1,,3,4,
12490615191,2,,,1,3,
12490615229,4,1,2,3,5,
12490614059,1,,,2,3,
12490615290,1,3,2,4,5,
12490613945,3,4,5,1,2,
12490615291,1,3,4,2,,
12490615530,4,1,3,2,5,
12490615602,2,,,1,,
12490615077,3,1,2,,,
12490615703,1,3,4,2,5,
12490615840,1,3,4,5,2,
12490616138,1,2,5,3,4,
12490616522,2,,1,,,
12490615070,3,,1,2,,
12490617214,3,2,5,1,4,
12490617241,3,4,5,1,2,
12490617353,2,3,5,1,4,
12490617567,,,2,1,,
12490617337,2,,1,,,
12490617623,,,2,1,,
12490618079,1,2,3,,4,5
12490618349,1,5,2,3,4,
12490618534,2,,,1,3,
12490618593,2,5,4,1,3,
12490616367,1,,2,,,
12490618865,1,,,2,,
12490617556,5,2,,1,4,3
12490619043,1,,2,3,,
12490619079,3,5,1,4,2,
12490619183,2,,,1,3,
12490619465,1,,2,,,
12490619697,2,4,5,1,3,
12490619591,2,3,5,1,4,
12490619800,3,2,5,1,4,
12490619893,1,,,2,,
12490619920,3,2,5,1,4,
12490619943,1,2,3,4,,
12490620128,,1,,2,,
12490620205,1,4,2,3,5,
12490620217,2,1,3,,,
12490620248,1,,2,,,
12490620470,1,,,2,,
12490620700,1,,,2,,
12490620802,1,2,4,3,5,
12490620792,,,1,2,,
12490619283,1,3,4,2,5,
12490621189,,,,1,,
12490621275,2,3,,1,,
12490621506,3,4,5,2,1,
12490621572,1,4,2,3,5,
12490621493,2,1,,,,
12490621421,,2,,1,,
12490621192,,1,2,,,
12490622075,,1,3,4,2,
12490622242,4,2,5,1,3,
12490622445,1,2,3,,4,5
12490622008,1,,,2,,
12490622410,,,2,1,,
12490623614,2,,,1,,
12490623792,,,2,1,3,
12490624180,1,,,,,
12490625511,1,,,2,,
12490625878,3,2,4,1,5,
12490626330,1,2,5,3,4,
12490624198,,,1,2,,5
12490626329,,2,,1,3,
12490626538,,2,1,3,,
12490626567,1,4,,2,3,5
12490626601,1,,3,2,,
12490626303,2,,4,1,5,3
12490626969,3,2,4,1,5,
12490626818,,,2,,1,
12490629003,3,4,,1,2,
12490631899,4,1,3,,2,
12490629770,,1,,3,2,4
12490633896,,2,,1,,
12490634218,2,4,1,3,5,
12490636798,4,3,5,1,2,
12490646521,4,1,5,3,2,
12490653293,2,1,5,3,4,
12490666415,1,,3,2,,4
12490683969,,,,,,1
12490720394,,1,2,,,
12490723844,,,1,,,
12490734225,2,4,1,3,5,
12490773459,1,4,2,3,,5
12491703854,1,,,,,
12491985831,2,1,,3,,
12492029799,1,,,2,,
12492079754,,1,,,2,
12492098246,,,1,,,
12492115777,4,2,5,1,3,
12492125694,,,,1,2,
12492129379,2,,3,1,,
12492133736,1,3,2,5,4,
12492170725,2,3,5,1,4,
12492191216,4,2,5,1,3,
12492290697,1,,2,,,
12492327178,4,2,3,5,1,
12492378651,1,2,3,4,5,
12492415200,,,,1,,2
12492616953,1,,,,,2
12492630457,,2,1,,,
12492645012,5,2,3,4,1,
12492655896,5,2,3,4,1,
12492660552,2,,1,,,
12493535616,,,,1,,
12493285725,1,,2,,,
12493212405,,,,1,,
12493158719,,2,4,3,1,5
12492862392,1,,,2,,
12492748644,,,1,,,5
12493586108,2,3,1,5,4,
